YEAR,MO,DY,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN,DATE
2013,1,1,24.17,11.41,65.38,0,3.27,0.52,01-01-2013
2013,1,2,23.98,10.81,86.31,0.2,3.28,0.88,02-01-2013
2013,1,3,20.62,7.98,78.38,0.19,4.43,2.52,03-01-2013
2013,1,4,22.2,6,62.06,0,3.23,0.27,04-01-2013
2013,1,5,23.38,7.51,61.12,0,3.1,1.02,05-01-2013
2013,1,6,21.5,6.41,66.12,0,2.31,0.24,06-01-2013
2013,1,7,19.96,4.97,60.81,0,4.81,1.06,07-01-2013
2013,1,8,18.06,1.56,47.12,0,5.05,3.04,08-01-2013
2013,1,9,19.08,2.24,45.38,0,5.38,2.78,09-01-2013
2013,1,10,20.73,4.26,52.56,0,5.98,3.21,10-01-2013
2013,1,11,19.55,4.73,58.12,0,5.73,2.48,11-01-2013
2013,1,12,19.21,4.41,57.12,0,5.56,2.19,12-01-2013
2013,1,13,23.4,6.47,56.19,0,4.18,0.66,13-01-2013
2013,1,14,24.56,11.4,55.06,0,3.8,0.45,14-01-2013
2013,1,15,24.37,9.83,60.38,0,3.84,0.18,15-01-2013
2013,1,16,26.58,12.22,61.94,0,2.99,0.38,16-01-2013
2013,1,17,26.47,13.69,63.88,0,3.06,0.24,17-01-2013
2013,1,18,26.78,11.58,65.44,0,3.95,1.8,18-01-2013
2013,1,19,24.31,12.05,74.56,0.09,4.84,3.1,19-01-2013
2013,1,20,22.36,8.35,69,0,4.2,2.85,20-01-2013
2013,1,21,22.95,6.69,54.12,0,3.17,1.21,21-01-2013
2013,1,22,22.5,6.33,51.5,0,3.39,0.43,22-01-2013
2013,1,23,22.92,5.22,47.69,0,4.61,2.38,23-01-2013
2013,1,24,21.3,5.58,47,0,5.04,2.93,24-01-2013
2013,1,25,21.65,5.95,45.5,0,4.71,2.93,25-01-2013
2013,1,26,21.55,5.37,44.38,0,5.48,2.53,26-01-2013
2013,1,27,21.83,4.83,44.38,0,5.04,2.84,27-01-2013
2013,1,28,22.01,7.32,44.31,0,3.52,1.48,28-01-2013
2013,1,29,22.27,4.84,40.44,0,3.12,1.41,29-01-2013
2013,1,30,23.77,6.58,44.31,0,3.12,1.76,30-01-2013
2013,1,31,24.19,8.44,43.06,0,2.48,0.88,31-01-2013
2013,2,1,24.43,10.43,47.12,0,3.22,0.26,01-02-2013
2013,2,2,24.97,9.98,47.88,0,3.59,0.55,02-02-2013
2013,2,3,25.29,9.58,50.44,0,3.06,1.25,03-02-2013
2013,2,4,26.67,11.56,48.75,0,2.98,0.35,04-02-2013
2013,2,5,27.97,12,58.38,0,3.6,2,05-02-2013
2013,2,6,29.14,13.88,55.06,0,3.12,1.47,06-02-2013
2013,2,7,24.91,13.62,63.06,0,4.39,1.07,07-02-2013
2013,2,8,23.91,11.87,62.44,1.18,4.77,2.52,08-02-2013
2013,2,9,24.67,8.14,44.38,0,5.39,2.3,09-02-2013
2013,2,10,25.83,6.64,42.31,0,5.81,2.24,10-02-2013
2013,2,11,26.49,9.39,47.06,0,5.98,2.37,11-02-2013
2013,2,12,26.15,10.65,52.94,0,6.83,2.8,12-02-2013
2013,2,13,26.96,10.53,53.94,0,5.75,2.88,13-02-2013
2013,2,14,28.1,12.2,49.56,0,5.54,2.34,14-02-2013
2013,2,15,29.02,13.59,50.94,2.46,4.18,0.66,15-02-2013
2013,2,16,21.94,12.02,77.44,2.53,7.43,1.5,16-02-2013
2013,2,17,22.1,12.05,79.88,15.28,5.6,1.29,17-02-2013
2013,2,18,22.82,8.12,67.12,0.01,4.8,2.47,18-02-2013
2013,2,19,24.24,7.78,62.19,0,3.36,1.93,19-02-2013
2013,2,20,25.8,9.79,55.88,0,4.77,1.9,20-02-2013
2013,2,21,26.06,9.46,52.12,0,3.92,2.06,21-02-2013
2013,2,22,28.61,9.85,46.94,0,3.99,1.52,22-02-2013
2013,2,23,30.7,12.83,41.56,0,3.75,1.5,23-02-2013
2013,2,24,29.84,14.71,45.62,0.13,3.96,0.05,24-02-2013
2013,2,25,28.9,11.56,61.12,0,4.46,2.62,25-02-2013
2013,2,26,28.94,11.12,50.88,0,4.18,2.62,26-02-2013
2013,2,27,29.99,11.04,42,0,5.62,2.72,27-02-2013
2013,2,28,29.97,13.94,44.31,0,6.86,3.36,28-02-2013
2013,3,1,28.44,10.81,37.88,0,9.04,3.75,01-03-2013
2013,3,2,28.95,9.58,35.06,0,6.47,3.58,02-03-2013
2013,3,3,30.21,10.35,32.94,0,6.07,3.13,03-03-2013
2013,3,4,30.19,11.62,34.56,0,3.5,2.16,04-03-2013
2013,3,5,30.53,13.32,31.81,0,4.21,1.39,05-03-2013
2013,3,6,31.03,12.92,32.62,0,4.66,1.29,06-03-2013
2013,3,7,29.93,12.99,30.19,0,4.76,1.6,07-03-2013
2013,3,8,30.65,14.13,34.62,0,3.67,1.52,08-03-2013
2013,3,9,30.44,12.65,31.5,0,5.11,3.07,09-03-2013
2013,3,10,30.96,14.39,26.56,0,4.01,1.61,10-03-2013
2013,3,11,33.59,17.65,28.5,0,3.86,1.13,11-03-2013
2013,3,12,33.08,16.05,32,0,5.3,2.29,12-03-2013
2013,3,13,33.03,14.94,32.75,0,4.27,2.34,13-03-2013
2013,3,14,33.89,16.7,37.5,0.53,3.39,1.42,14-03-2013
2013,3,15,33.26,17.88,40.94,1.5,3.05,1.63,15-03-2013
2013,3,16,30.98,17.87,47.38,2.31,4.57,2.1,16-03-2013
2013,3,17,30.74,17.55,51.25,2,6.16,2.59,17-03-2013
2013,3,18,31.13,15.56,42.06,0.13,7.12,3.34,18-03-2013
2013,3,19,32.47,14.4,33.75,0,6.25,3.26,19-03-2013
2013,3,20,33.87,16.26,32.62,0,5.83,2.56,20-03-2013
2013,3,21,34.79,18.15,31.38,0,4.87,1.42,21-03-2013
2013,3,22,34.5,19.23,31.31,0,6.65,2.02,22-03-2013
2013,3,23,35.38,18.26,26.69,0,3.87,0.84,23-03-2013
2013,3,24,36.52,18.9,26.88,0.06,4.5,1.85,24-03-2013
2013,3,25,35.51,19.64,30.06,0.08,7.79,1.98,25-03-2013
2013,3,26,33.8,18.57,30.62,0,7.99,3.62,26-03-2013
2013,3,27,36.23,19.01,26,0,6.88,3.15,27-03-2013
2013,3,28,36.68,20.66,24.75,0,5.01,2.21,28-03-2013
2013,3,29,36.46,19.65,34.94,1.6,4.43,1.84,29-03-2013
2013,3,30,35.69,21.92,38.75,2.19,5.44,2.38,30-03-2013
2013,3,31,35.67,18.26,35.69,1.26,4.31,2.37,31-03-2013
2013,4,1,36.02,20.03,30.81,0,6.19,2.67,01-04-2013
2013,4,2,36.55,19.2,29.44,2.38,3.49,0.89,02-04-2013
2013,4,3,36.01,20.01,40.62,1.4,6.02,1.33,03-04-2013
2013,4,4,35.65,22.55,34.88,0,9.15,4.1,04-04-2013
2013,4,5,35.48,19.9,24.25,0,9.39,4.22,05-04-2013
2013,4,6,35.79,17.8,18.38,0,7.65,3.43,06-04-2013
2013,4,7,36.2,17.36,16.62,0,6.55,3.19,07-04-2013
2013,4,8,37.44,19.65,19.25,0,5.17,2.83,08-04-2013
2013,4,9,38.24,21.42,20.5,0,4.89,2.16,09-04-2013
2013,4,10,40.51,23.04,17.19,0,2.69,0.62,10-04-2013
2013,4,11,39.13,23.14,20.81,0.38,2.92,0.14,11-04-2013
2013,4,12,40.19,25.87,24.06,0.19,3.75,0.1,12-04-2013
2013,4,13,40,23.57,21.81,0.65,4.2,1.42,13-04-2013
2013,4,14,37.56,21.1,37.25,13.88,9.95,0.96,14-04-2013
2013,4,15,35.37,22.09,45.75,0.73,6.77,1.8,15-04-2013
2013,4,16,37.32,20.8,36.75,0,6.23,1.72,16-04-2013
2013,4,17,38.87,22.17,31.5,0.4,4.52,1.27,17-04-2013
2013,4,18,36.52,20.15,45.94,0.75,3.31,0.7,18-04-2013
2013,4,19,32.64,22.26,56,3.05,3.62,0.16,19-04-2013
2013,4,20,30.45,20.88,60.62,4.97,7.08,2.46,20-04-2013
2013,4,21,27.87,19.44,65.5,2.58,4.85,0.65,21-04-2013
2013,4,22,31.99,16.79,56.88,0.51,5.91,2.13,22-04-2013
2013,4,23,33.2,19.17,50.31,0.04,3.55,1.16,23-04-2013
2013,4,24,33.79,18.43,49.44,0.12,4.01,1.35,24-04-2013
2013,4,25,36.17,21.15,39.25,0.01,5.41,0.48,25-04-2013
2013,4,26,38.15,22.22,34.5,0,3.89,1.2,26-04-2013
2013,4,27,39.18,24.4,32.75,0.01,6.09,0.5,27-04-2013
2013,4,28,40.23,24.31,27.69,0,6.09,2.05,28-04-2013
2013,4,29,39.39,23.25,26.5,0,5.17,1.73,29-04-2013
2013,4,30,41.53,25.46,22.81,0,4.54,0.7,30-04-2013
2013,5,1,42.36,26.25,22.62,0,5.34,1.33,01-05-2013
2013,5,2,42.4,25.29,21.62,0.29,6.27,2.35,02-05-2013
2013,5,3,41.08,23.66,12.31,0,6.84,2.73,03-05-2013
2013,5,4,41.98,25.23,13.31,0,4.23,0.31,04-05-2013
